transaction_amount,transaction_age,customer_account_age,previous_disputes,previous_successful_transactions,previous_refunds,delivery_confirmed,customer_acknowledged,refund_processed,communication_available,evidence_count,merchant_dispute_rate,transaction_frequency,amount_deviation,dispute_reason,payment_method,outcome
168.25,16,123,0,4,1,1,1,0,1,6,0.0227,0.7,-0.25,GOODS_NOT_RECEIVED,CREDIT_CARD,1
101.74,31,1043,1,67,0,1,0,0,1,4,0.0395,2.58,-0.1,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,0
16.16,21,1110,0,78,4,0,0,0,1,4,0.0162,0.78,-0.21,UNAUTHORIZED_TRANSACTION,DEBIT_CARD,0
81.93,23,1064,0,49,1,1,0,0,0,6,0.0239,2.71,0.08,UNAUTHORIZED_TRANSACTION,DEBIT_CARD,1
24.27,14,712,0,26,0,1,1,1,1,7,0.0071,1.47,0.35,DUPLICATE_TRANSACTION,DEBIT_CARD,1
38.95,30,914,0,65,0,1,0,1,1,6,0.0065,0.75,-0.04,GOODS_NOT_RECEIVED,CREDIT_CARD,1
91.66,12,107,1,1,0,1,0,0,1,6,0.0182,0.97,-1.5,GOODS_NOT_RECEIVED,DEBIT_CARD,0
283.33,43,538,0,52,1,1,0,0,1,5,0.0056,0.52,-1.3,DUPLICATE_TRANSACTION,CREDIT_CARD,1
206.46,6,656,0,56,0,1,1,0,1,6,0.0229,0.71,1.36,GOODS_NOT_AS_DESCRIBED,DIGITAL_WALLET,1
120.25,16,532,0,24,0,1,1,0,0,6,0.0249,5.74,1.41,GOODS_NOT_AS_DESCRIBED,DIGITAL_WALLET,1
50.51,43,516,1,45,2,1,1,0,1,6,0.0071,1.69,-0.44,GOODS_NOT_RECEIVED,BANK_TRANSFER,1
6.4,44,1092,0,19,0,1,1,0,1,6,0.0145,4.73,0.5,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,0
28.76,35,816,0,48,0,1,1,0,1,5,0.0056,2.36,-0.19,GOODS_NOT_AS_DESCRIBED,DEBIT_CARD,1
19.98,33,565,0,36,0,1,1,0,1,5,0.0229,0.7,-0.18,UNAUTHORIZED_TRANSACTION,DEBIT_CARD,0
159.13,12,845,0,20,1,1,0,0,1,5,0.0056,0.54,1.1,GOODS_NOT_AS_DESCRIBED,CREDIT_CARD,0
6.79,19,221,1,16,0,1,1,0,0,6,0.006,2.74,-1.49,UNAUTHORIZED_TRANSACTION,CREDIT_CARD,1
100.48,30,303,0,16,0,1,1,0,1,6,0.0249,1.81,0.08,REFUND_NOT_RECEIVED,CREDIT_CARD,0
41.11,40,618,0,31,0,1,1,0,1,6,0.0227,1.01,1.48,UNAUTHORIZED_TRANSACTION,DEBIT_CARD,1
110.5,8,943,1,16,0,1,0,0,0,6,0.0081,2.61,1.7,GOODS_NOT_RECEIVED,DEBIT_CARD,1
14.58,37,714,0,22,0,0,0,0,0,5,0.0145,0.54,-0.22,GOODS_NOT_RECEIVED,CREDIT_CARD,1
101.79,16,352,0,17,0,1,1,1,0,7,0.0249,4.01,-0.46,REFUND_NOT_RECEIVED,DIGITAL_WALLET,0
